Time,Action
10:40:33 AM,enter
10:40:33 AM,enter
10:40:34 AM,enter
10:40:34 AM,enter
10:40:40 AM,exit
10:40:40 AM,exit
10:40:40 AM,exit
10:40:41 AM,exit
10:40:41 AM,exit
10:40:42 AM,enter
10:40:42 AM,enter
10:40:43 AM,enter
10:42:39 AM,exit
10:42:39 AM,exit
10:42:40 AM,exit
10:42:47 AM,enter
10:42:48 AM,exit
10:42:48 AM,enter
10:42:48 AM,exit
10:44:22 AM,enter
10:44:22 AM,enter
10:44:22 AM,enter
10:44:23 AM,exit
10:44:23 AM,exit
11:49:03,enter
11:49:06,enter
11:49:14,exit
11:49:50,exit
11:49:51,exit
11:49:52,exit
11:49:52,exit
11:49:54,enter
11:49:55,enter
11:50:26,enter
11:50:37,enter
11:50:38,enter
11:50:39,enter
11:50:40,enter
11:50:40,enter
11:50:41,enter
11:50:47,enter
11:50:58,enter
11:51:00,enter
11:51:02,enter
11:51:05,exit
11:51:33,exit
11:51:34,exit
11:51:40,exit
11:51:48,exit
11:51:49,enter
11:51:49,enter
11:52:35,enter
11:52:36,enter
11:52:47,enter
11:52:48,enter
11:52:54,enter
11:53:04,enter
11:53:07,exit
11:53:08,exit
11:53:24,enter
11:53:24,enter
11:53:43,exit
11:53:44,enter
11:53:55,enter
11:53:55,enter
11:54:06,enter
11:54:07,enter
11:54:12,enter
11:54:17,exit
11:54:25,exit
11:54:26,exit
11:54:27,exit
11:54:34,enter
11:54:34,enter
11:54:56,enter
11:55:06,exit
11:55:07,exit
11:55:12,exit
11:55:12,enter
11:55:15,enter
11:55:17,enter
11:55:33,enter
11:55:34,enter
11:55:36,exit
11:55:41,enter
11:55:42,enter
11:55:46,enter
11:55:47,enter
11:56:05,enter
11:56:05,enter
11:56:33,enter
11:56:41,enter
11:56:41,enter
11:56:42,enter
11:56:43,enter
11:56:46,enter
11:56:46,exit
11:56:47,exit
11:56:56,enter
11:56:57,enter
11:56:59,exit
11:57:07,enter
11:57:15,enter
11:57:20,enter
11:57:21,enter
11:57:22,enter
11:57:28,exit
11:57:34,exit
11:57:34,exit
11:57:34,enter
11:57:34,enter
11:57:37,enter
11:57:45,enter
11:57:46,enter
11:57:47,enter
11:57:48,enter
11:57:49,enter
11:57:53,exit
11:57:54,exit
11:57:54,exit
11:58:01,enter
11:58:02,enter
11:58:02,enter
11:58:03,enter
11:58:06,exit
11:58:08,enter
11:58:09,enter
11:58:10,enter
11:58:10,enter
11:58:11,enter
11:58:11,enter
11:58:19,exit
11:58:23,enter
11:58:31,enter
11:58:37,enter
11:58:40,enter
11:58:40,exit
11:58:54,enter
11:58:55,enter
11:58:56,exit
11:58:57,exit
11:58:59,exit
11:59:00,enter
11:59:02,enter
11:59:03,enter
11:59:04,enter
11:59:06,enter
11:59:07,enter
11:59:07,enter
11:59:08,enter
11:59:09,enter
11:59:10,enter
11:59:12,enter
11:59:14,exit
11:59:21,enter
11:59:22,enter
11:59:22,enter
11:59:21,exit
11:59:24,exit
11:59:27,exit
11:59:28,enter
11:59:34,enter
11:59:34,enter
11:59:35,enter
11:59:36,enter
11:59:40,enter
11:59:40,enter
11:59:41,enter
11:59:41,enter
11:59:48,enter
11:59:48,enter
11:59:52,exit
11:59:55,enter
11:59:58,enter
12:00:01,enter
12:00:03,enter
12:00:03,enter
12:00:21,enter
12:00:24,enter
12:00:27,enter
12:00:28,enter
12:00:33,enter
12:00:34,enter
12:00:35,enter
12:00:37,enter
12:00:38,enter
12:00:39,enter
12:00:40,enter
12:00:46,enter
12:00:49,enter
12:00:51,enter
12:00:51,enter
12:00:59,exit
12:01:01,exit
12:01:03,exit
12:01:04,exit
12:01:05,exit
12:01:08,exit
12:01:14,enter
12:01:14,enter
12:01:26,exit
12:01:37,enter
12:01:42,enter
12:01:42,enter
12:01:46,enter
12:01:47,enter
12:01:50,enter
12:01:51,enter
12:01:52,enter
12:01:56,exit
12:01:57,exit
12:01:58,exit
12:02:03,exit
12:02:09,enter
12:02:10,enter
12:02:12,enter
12:02:13,enter
12:02:14,enter
12:02:18,enter
12:02:19,enter
12:02:19,enter
12:02:21,enter
12:02:24,enter
12:02:29,enter
12:02:31,exit
12:02:32,exit
12:02:41,enter
12:02:42,enter
12:02:44,exit
12:02:46,enter
12:02:46,enter
12:02:47,enter
12:02:54,exit
12:02:56,exit
12:03:07,enter
12:03:07,enter
12:03:12,enter
12:03:12,enter
12:03:19,enter
12:03:20,enter
12:03:23,enter
12:03:35,enter
12:04:02,exit
12:04:03,exit
12:04:09,enter
12:04:11,enter
12:04:12,enter
12:04:13,enter
12:04:14,enter
12:04:17,exit
12:04:18,exit
12:04:18,enter
12:04:23,enter
12:04:30,exit
12:04:31,exit
12:04:35,enter
12:04:36,enter
12:04:40,enter
12:04:45,exit
12:05:06,exit
12:05:34,exit
12:05:36,exit
12:05:51,exit
12:05:52,exit
12:05:52,exit
12:06:17,enter
12:06:25,enter
12:06:25,enter
12:06:26,enter
12:06:27,enter
12:06:36,exit
12:06:37,exit
12:06:37,exit
12:06:38,exit
12:06:38,exit
12:06:41,enter
12:06:41,enter
12:06:46,enter
12:06:50,enter
12:06:52,enter
12:06:52,enter
12:07:05,exit
12:07:24,exit
12:07:24,exit
12:07:24,exit
12:07:25,exit
12:07:24,exit
12:07:24,exit
12:07:25,exit
12:07:25,exit
12:07:31,enter
12:07:31,enter
12:07:44,enter
12:07:48,exit
12:07:48,exit
12:08:01,exit
12:08:03,exit
12:08:09,exit
12:08:12,exit
12:08:18,exit
12:08:19,enter
12:08:21,enter
12:08:22,enter
12:08:29,exit
12:08:34,enter
12:08:35,enter
12:08:36,enter
12:08:37,enter
12:08:38,exit
12:08:39,exit
12:08:39,exit
12:08:52,exit
12:08:52,exit
12:09:01,enter
12:09:05,exit
12:09:11,exit
12:09:11,exit
12:09:16,enter
12:09:17,exit
12:09:20,exit
12:09:22,enter
12:09:23,enter
12:09:25,enter
12:09:26,enter
12:09:31,exit
12:09:58,exit
12:10:01,enter
12:10:45,exit
12:10:46,exit
12:10:46,exit
12:10:53,exit
12:10:54,exit
12:10:54,exit
12:10:54,exit
12:10:55,exit
12:11:01,exit
12:11:36,exit
12:11:37,exit
12:11:39,exit
12:11:41,exit
12:12:05,exit
12:12:07,exit
12:12:07,exit
12:12:10,exit
12:12:10,exit
12:12:11,exit
12:12:13,enter
12:12:21,exit
12:12:29,enter
12:12:45,exit
12:13:04,exit
12:13:12,exit
12:13:12,exit
12:13:19,exit
12:13:19,exit
12:13:20,exit
12:13:20,exit
12:13:20,exit
12:13:21,exit
12:13:23,exit
12:13:23,exit
12:13:23,exit
12:13:23,exit
12:13:24,exit
12:13:24,exit
12:13:26,enter
12:13:27,exit
12:13:27,exit
12:13:31,exit
12:13:31,exit
12:13:39,enter
12:13:43,exit
12:13:55,exit
12:13:56,exit
12:14:00,exit
12:14:06,exit
12:14:06,exit
12:14:11,exit
12:14:12,exit
12:14:19,exit
12:14:26,enter
12:14:27,exit
12:14:27,exit
12:14:39,exit
12:14:39,exit
12:14:41,exit
12:14:41,exit
12:14:46,exit
12:14:49,exit
12:14:49,exit
12:15:01,exit
12:15:04,exit
12:15:04,exit
12:15:04,exit
12:15:05,exit
12:15:08,exit
12:15:08,exit
12:15:09,exit
12:15:14,enter
12:15:16,enter
12:15:21,enter
12:15:26,enter
12:15:27,enter
12:15:28,exit
12:15:30,exit
12:15:36,exit
12:15:36,exit
12:15:42,enter
12:16:41,exit
12:16:55,exit
12:17:06,enter
12:17:07,enter
12:17:08,enter
12:17:13,enter
12:17:12,exit
12:17:13,exit
12:17:14,exit
12:17:20,exit
12:17:22,exit
12:17:23,exit
12:17:24,exit
12:17:26,exit
12:17:26,exit
12:17:27,exit
12:17:27,exit
12:17:29,exit
12:17:31,exit
12:17:32,exit
12:17:32,exit
12:17:35,enter
12:17:36,exit
12:17:51,enter
12:18:13,exit
12:18:13,exit
12:18:13,exit
12:18:14,exit
12:18:27,enter
12:18:28,enter
12:18:38,exit
12:18:47,exit
12:18:59,enter
12:19:01,enter
12:19:06,enter
12:19:04,exit
12:19:08,exit
12:19:08,exit
12:19:22,enter
12:19:31,enter
12:19:32,enter
12:19:44,exit
12:19:55,exit
12:19:56,exit
12:19:58,enter
12:20:05,enter
12:20:06,enter
12:20:10,enter
12:20:10,enter
12:20:09,exit
12:20:22,exit
12:20:23,exit
12:20:23,exit
12:20:27,enter
12:20:36,enter
12:20:37,enter
12:20:41,exit
12:20:59,exit
12:21:00,exit
12:21:05,exit
12:21:14,enter
12:21:21,exit
12:21:21,exit
12:21:38,exit
12:21:46,exit
12:21:51,enter
12:22:00,enter
12:22:08,exit
12:22:08,exit
12:22:08,exit
12:22:10,enter
12:22:11,enter
12:22:14,enter
12:22:20,enter
12:22:22,enter
12:22:26,enter
12:22:26,exit
12:22:36,exit
12:22:38,exit
12:22:38,exit
12:22:39,exit
12:22:39,exit
12:22:43,exit
12:22:58,exit
12:22:58,exit
12:23:02,enter
12:23:06,exit
12:23:07,enter
12:23:07,enter
12:23:08,enter
12:23:11,enter
12:23:12,exit
12:23:21,exit
12:23:27,exit
12:23:32,exit
12:23:32,exit
12:23:46,exit
12:24:01,exit
12:24:02,exit
12:24:32,exit
12:24:43,exit
12:25:21,exit
12:25:33,exit
12:25:34,exit
